Usuário;Computador;Ordem;Cod. Projeto;Cod. Lote;Cod. Pasta;Projeto;Lote;Pasta;Fase;Fase Destino;Imgs. Antes;Imgs. Depois;Docs. Antes;Docs. Depois;Início;Término;Tempo Gasto;Local;
Kayo;OCR;57271;19;1;24;2024;06;GERREC_PROCESSO_COMITE_0021;Exportação;Finalizado;301;301;1;1;10/1/2024 08:51:24;10/1/2024 08:51:43;00:00:19;Local Padrão;
Kayo;OCR;57273;19;1;25;2024;06;GERREC_PROCESSO_PUBLICO_SMS_0008;Exportação;Finalizado;641;641;1;1;10/1/2024 08:51:43;10/1/2024 08:52:23;00:00:40;Local Padrão;
Kayo;OCR;57274;19;1;26;2024;06;GERREC_PROCESSOS_COMPROMETIMENTO_0036;Exportação;Finalizado;150;150;1;1;10/1/2024 08:52:24;10/1/2024 08:52:34;00:00:10;Local Padrão;
Kayo;OCR;57275;19;1;27;2024;06;GERREC_PROCESSO_SIMPLIFICADO_0007;Exportação;Finalizado;259;259;1;1;10/1/2024 08:52:34;10/1/2024 08:52:52;00:00:18;Local Padrão;
Kayo;OCR;57276;19;1;28;2024;06;GERREC_PROCESSOS_CONCURSO_PUBLICO_0003;Exportação;Finalizado;782;782;1;1;10/1/2024 08:52:52;10/1/2024 08:53:43;00:00:51;Local Padrão;
Kayo;OCR;57277;19;1;29;2024;06;GERREC_PROCESSO_COMURG_0029;Exportação;Finalizado;673;673;1;1;10/1/2024 08:53:43;10/1/2024 08:54:28;00:00:45;Local Padrão;
Kayo;OCR;57278;19;1;30;2024;06;GERREC_PROCESSO_ESTAVEIS_0020;Exportação;Finalizado;599;599;1;1;10/1/2024 08:54:28;10/1/2024 08:55:07;00:00:39;Local Padrão;
Kayo;OCR;57279;19;1;31;2024;06;GERREC_PROCESSOS_SEGURANCA_0014;Exportação;Finalizado;482;482;1;1;10/1/2024 08:55:08;10/1/2024 08:55:40;00:00:32;Local Padrão;
Kayo;OCR;57280;19;1;32;2024;06;GERREC_PROCESSO_SEINFRA_0025;Exportação;Finalizado;339;339;1;1;10/1/2024 08:55:40;10/1/2024 08:56:02;00:00:22;Local Padrão;
Kayo;OCR;57281;19;1;33;2024;06;GERREC_PROCESSO_TSDT_0005;Exportação;Finalizado;371;371;1;1;10/1/2024 08:56:02;10/1/2024 08:56:32;00:00:30;Local Padrão;
